player,team,team_abbrev,avg,hits,homeRuns,rbi,stolenBases,obp,slg,ops,atBats,plateAppearances,strikeOuts,baseOnBalls,gamesplayed,PlayerID,scrape_date
Yohendrick Piñango,Toronto Blue Jays,TOR,.260,44,5,20,0,.306,.396,.702,169,180,44,11,58,682818,2026-09-14
Griffin Conine,Miami Marlins,MIA,.260,63,15,37,4,.361,.479,.840,242,280,82,33,82,665052,2026-09-14
Jesús Sánchez,Toronto Blue Jays,TOR,.260,70,8,35,1,.318,.416,.734,269,299,70,17,99,660821,2026-09-14
Thomas Saggese,St. Louis Cardinals,STL,.260,32,4,12,3,.316,.415,.731,123,136,36,11,46,695336,2026-09-14
Isaac Paredes,Houston Astros,HOU,.260,135,21,85,0,.359,.435,.794,519,607,82,64,143,670623,2026-09-14
Yohel Pozo,Baltimore Orioles,BAL,.260,13,1,7,0,.269,.340,.609,50,52,6,1,33,650968,2026-09-14
Willi Castro,Colorado Rockies,COL,.260,111,15,56,10,.331,.417,.748,427,477,129,41,120,650489,2026-09-14
Carson Kelly,Chicago Cubs,CHC,.260,92,10,56,0,.338,.387,.725,354,396,66,38,112,608348,2026-09-14
Luis Lara,Milwaukee Brewers,MIL,.259,41,1,22,3,.330,.348,.678,158,176,39,16,52,800325,2026-09-14
Miguel Andujar,San Diego Padres,SD,.259,62,5,22,2,.303,.423,.726,239,254,38,11,74,609280,2026-09-14
Alika Williams,Athletics,ATH,.259,50,4,16,1,.298,.420,.718,193,208,46,9,80,675961,2026-09-14
Hao-Yu Lee,Detroit Tigers,DET,.259,72,8,41,2,.319,.414,.733,278,308,75,26,102,701678,2026-09-14
Braden Shewmake,Milwaukee Brewers,MIL,.259,22,3,10,1,.270,.424,.694,85,91,16,2,34,669699,2026-09-14
Hyeseong Kim,Los Angeles Dodgers,LAD,.259,30,1,11,5,.323,.328,.651,116,131,31,12,43,808975,2026-09-14
Brandon Lowe,Pittsburgh Pirates,PIT,.258,140,29,85,2,.327,.474,.801,542,608,176,57,139,664040,2026-09-14
Cole Carrigg,Colorado Rockies,COL,.258,72,7,39,9,.330,.434,.764,279,317,75,28,80,694249,2026-09-14
Rafael Devers,San Francisco Giants,SF,.258,144,37,98,0,.340,.525,.865,558,633,161,69,148,646240,2026-09-14
Jordan Lawlar,Arizona Diamondbacks,ARI,.258,25,4,11,4,.333,.423,.756,97,109,30,5,34,691783,2026-09-14
Kyle Karros,Colorado Rockies,COL,.258,94,11,45,5,.352,.419,.771,365,423,88,48,119,691720,2026-09-14
Ronald Acuña Jr.,Atlanta Braves,ATL,.257,95,17,47,20,.350,.447,.797,369,426,95,49,97,660670,2026-09-14
Wilyer Abreu,Boston Red Sox,BOS,.257,143,24,74,8,.336,.466,.802,556,636,127,67,146,677800,2026-09-14
Will Wagner,San Diego Padres,SD,.257,9,0,0,0,.422,.286,.708,35,45,7,10,16,695238,2026-09-14
Carlos Cortes,Athletics,ATH,.257,82,9,40,2,.326,.395,.721,319,356,58,30,114,666126,2026-09-14
Tommy Edman,Los Angeles Dodgers,LAD,.257,64,6,34,6,.339,.390,.729,249,282,58,19,72,669242,2026-09-14
Dominic Canzone,Seattle Mariners,SEA,.257,111,22,68,2,.326,.481,.807,432,479,104,40,134,686527,2026-09-14
Colt Keith,Detroit Tigers,DET,.257,97,10,36,6,.318,.402,.720,378,415,82,30,136,690993,2026-09-14
Tsung-Che Cheng,Boston Red Sox,BOS,.256,10,0,5,0,.318,.282,.600,39,44,14,4,14,691907,2026-09-14
Cody Freeman,Texas Rangers,TEX,.256,21,1,6,1,.322,.329,.651,82,93,14,7,33,683227,2026-09-14
